,Regular,Method1,Method2
1000,6,1,1
5950,162,1,17
10900,447,1,20
15850,675,0,22
20800,1072,0,24
25750,1652,1,22
30700,2422,0,27
35650,3396,0,21
40600,4513,0,24
45550,5815,0,27
50500,7323,0,30
55450,8991,0,33
60400,10908,0,37
65350,12962,0,39
70300,15324,0,22
75250,17953,0,23
80200,20580,0,25
85150,23638,0,26
90100,26881,1,27
95050,30421,0,29
