,Regular,Method1,Method2
10000,48291,0,30
109000,47545,0,31
208000,48213,1,58
307000,48363,2,84
406000,49304,2,86
505000,48159,2,119
604000,48141,2,137
703000,47863,2,137
802000,45840,3,161
901000,45926,4,189
