,Regular,Method1,Method2
1000,1000,0,0
1090,1000,0,0
1180,1000,0,0
1270,1000,0,0
1360,1000,0,0
1450,1000,0,0
1540,1000,0,0
1630,1000,0,0
1720,1000,373,1
1810,1000,1466,4
1900,1000,432,3
1990,1000,519,5
2080,1000,726,6
2170,1000,1003,11
2260,1000,793,9
2350,1000,740,13
2440,1000,537,10
2530,1000,1343,25
2620,1000,790,17
2710,1000,578,18
2800,1000,682,23
2890,1000,639,24
2980,1000,1056,35
3070,1000,1006,37
3160,1000,775,34
3250,1000,893,43
3340,1000,913,44
3430,1000,879,48
3520,1000,915,53
3610,1000,1070,68
3700,1000,1045,69
3790,1000,931,66
3880,1000,801,61
3970,1000,1210,92
4060,1000,918,78
4150,1000,918,83
4240,1000,917,88
4330,1000,830,83
4420,1000,915,94
4510,1000,958,104
4600,1000,943,106
4690,1000,889,106
4780,1000,839,106
4870,1000,934,118
4960,1000,940,126
5050,1000,989,140
5140,1000,959,137
5230,1000,955,147
5320,1000,936,146
5410,1000,979,156
5500,1000,1004,165
5590,1000,957,160
5680,1000,1072,183
5770,1000,958,170
5860,1000,872,162
5950,1000,922,176
6040,1000,957,184
6130,1000,973,192
6220,1000,988,196
6310,1000,997,204
6400,1000,1090,226
6490,1000,976,209
6580,1000,984,213
6670,1000,1029,231
6760,1000,976,221
6850,1000,975,228
6940,1000,915,220
7030,1000,1011,241
7120,1000,1028,251
7210,1000,944,234
7300,1000,962,251
7390,1000,1006,259
7480,1000,970,258
7570,1000,974,261
7660,1000,1046,283
7750,1000,970,272
7840,1000,987,277
7930,1000,955,275
8020,1000,1011,289
8110,1000,980,283
8200,1000,1004,297
8290,1000,1011,309
8380,1000,930,285
8470,1000,921,293
8560,1000,988,316
8650,1000,1003,321
8740,1000,976,314
8830,1000,987,318
8920,1000,985,327
9010,1000,1014,335
9100,1000,995,334
9190,1000,980,330
9280,1000,1021,352
9370,1000,983,342
9460,1000,1014,357
9550,1000,961,343
9640,1000,954,343
9730,1000,941,341
9820,1000,1008,369
9910,1000,952,362
