,Regular,Method1,Method2
100,100,67,92
595,595,392,546
1090,1090,710,1000
1585,1585,1017,1450
2080,2080,1329,1902
2575,2575,1624,2359
3070,3070,1907,2808
3565,3565,2198,3266
4060,4060,2480,3715
4555,4555,2756,4168
5050,5050,3020,4596
5545,5545,3280,5040
6040,6040,3528,5494
6535,6535,3790,5958
7030,7030,4047,6393
7525,7525,4297,6842
8020,8020,4549,7292
8515,8515,4790,7735
9010,9010,5012,8182
9505,9505,5224,8636
