,Regular,Method1,Method2
1000,1000,691,1000
5950,1000,910,1000
10900,1000,933,1000
15850,1000,946,1000
20800,1000,952,1000
25750,1000,958,1000
30700,1000,959,1000
35650,1000,953,1000
40600,1000,948,1000
45550,1000,942,1000
50500,1000,948,1000
55450,1000,949,1000
60400,1000,947,1000
65350,1000,952,1000
70300,1000,961,1000
75250,1000,957,999
80200,1000,964,996
85150,1000,957,994
90100,1000,965,994
95050,1000,959,991
