,Regular,Method1,Method2
1000,1000,1458,1000
1450,1000,1452,999
1900,1000,1442,999
2350,1000,1437,999
2800,1000,1429,999
3250,1000,1418,998
3700,1000,1407,998
4150,1000,1394,998
4600,1000,1381,996
5050,1000,1376,994
5500,1000,1368,993
5950,1000,1355,991
6400,1000,1342,990
6850,1000,1335,989
7300,1000,1325,988
7750,1000,1321,985
8200,1000,1306,983
8650,1000,1297,981
9100,1000,1293,980
9550,1000,1285,980
